word_set,rule_set,affixes,r62_r63,n_signs,word_count,share_any_root,min_roots,median_roots,max_roots,mean_roots,share_paper_root,mean_paper_roots
real (all),stated only,off,on,4,136,0.3309,0,0.0,46,1.67,0.0588,0.059
real (all),stated only,off,on,5,44,0.1364,0,0.0,6,0.41,0.0227,0.023
real (all),stated only,off,on,6,20,0.0,0,0.0,0,0,0.0,0
real (all),stated only,off,on,7,7,0.0,0,0,0,0,0.0,0
real (all),stated only,off,on,8,2,0.0,0,0.0,0,0,0.0,0
real (all),stated only,off,on,9,1,0.0,0,0,0,0,0.0,0
real (all),stated only,off,on,16,1,0.0,0,0,0,0,0.0,0
real (all),stated only,off,on,19,1,0.0,0,0,0,0,0.0,0
real (all),stated only,off,on,all,787,0.6722,0,4,63,9.23,0.1639,0.189
real (all),stated only,off,off,2,287,0.9861,0,14,51,17.22,0.2718,0.328
real (all),stated only,off,off,3,288,0.6771,0,2.0,51,6.7,0.1111,0.125
real (all),stated only,off,off,4,136,0.3309,0,0.0,43,1.65,0.0515,0.051
real (all),stated only,off,off,5,44,0.1364,0,0.0,6,0.41,0.0227,0.023
real (all),stated only,off,off,6,20,0.0,0,0.0,0,0,0.0,0
real (all),stated only,off,off,7,7,0.0,0,0,0,0,0.0,0
real (all),stated only,off,off,8,2,0.0,0,0.0,0,0,0.0,0
real (all),stated only,off,off,9,1,0.0,0,0,0,0,0.0,0
real (all),stated only,off,off,16,1,0.0,0,0,0,0,0.0,0
real (all),stated only,off,off,19,1,0.0,0,0,0,0,0.0,0
real (all),stated only,off,off,all,787,0.6722,0,4,51,9.04,0.1499,0.175
real (read by the paper),stated only,off,off,2,9,1.0,3,9,43,13.67,0.4444,0.444
real (read by the paper),stated only,off,off,3,23,0.6957,0,4,43,9.7,0.2609,0.261
real (read by the paper),stated only,off,off,4,33,0.3939,0,0,43,2.82,0.0909,0.091
real (read by the paper),stated only,off,off,5,14,0.1429,0,0.0,3,0.29,0.0714,0.071
real (read by the paper),stated only,off,off,6,12,0.0,0,0.0,0,0,0.0,0
real (read by the paper),stated only,off,off,7,3,0.0,0,0,0,0,0.0,0
real (read by the paper),stated only,off,off,8,2,0.0,0,0.0,0,0,0.0,0
real (read by the paper),stated only,off,off,all,96,0.4167,0,0.0,43,4.61,0.1458,0.146
real (never read),stated only,off,off,2,278,0.9856,0,14.5,51,17.33,0.2662,0.324
real (never read),stated only,off,off,3,265,0.6755,0,2,51,6.44,0.0981,0.113
real (never read),stated only,off,off,4,103,0.3107,0,0,13,1.27,0.0388,0.039
real (never read),stated only,off,off,5,30,0.1333,0,0.0,6,0.47,0.0,0
real (never read),stated only,off,off,6,8,0.0,0,0.0,0,0,0.0,0
real (never read),stated only,off,off,7,4,0.0,0,0.0,0,0,0.0,0
real (never read),stated only,off,off,9,1,0.0,0,0,0,0,0.0,0
real (never read),stated only,off,off,16,1,0.0,0,0,0,0,0.0,0
real (never read),stated only,off,off,19,1,0.0,0,0,0,0,0.0,0
real (never read),stated only,off,off,all,691,0.7077,0,4,51,9.65,0.1505,0.179
shuffled,stated only,off,off,2,239,0.9958,0,14,51,16.1,0.2636,0.322
shuffled,stated only,off,off,3,1376,0.7071,0,2.0,51,6.25,0.1235,0.137
shuffled,stated only,off,off,4,1360,0.3287,0,0.0,43,1.64,0.0191,0.019
